WARNING: 12 open meshes remove
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: prop structure attached
     Removed: Wings
     Removed: Wings
WARNING: 1 open meshes merged
     Merged: Horizontal Stab
...Mass Properties...
176 Num Comps
168 Total Num Meshes
117440 Total Num Tris

20988.901167             Total Mass
10.321540 -0.000045 0.515331       Center of Gravity
323653.171569 371401.411073 650303.269685       Ixx, Iyy, Izz
-7.893093 59913.771827 -2.023433       Ixy, Ixz, Iyz
109.832839             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
PropGeom	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropGeom	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropGeom	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropGeom	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PropGeom	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
FuselageGeom	0.339169	12.148070	-3.300000	1.107049	0.015025	0.076503	0.076002	0.000015	0.008053	-0.000012	0.339169
FuselageGeom	0.339169	12.148070	3.300000	1.107049	0.015047	0.076537	0.075989	0.000028	0.008051	0.000004	0.339169
MagniX 650 EPU 1	53.168832	11.424535	-3.300000	1.050000	2.438664	1.560078	1.579924	-0.000285	-0.000385	-0.000001	0.037978
MagniX 650 EPU 1	53.168832	11.424535	3.300000	1.050000	2.439536	1.559919	1.580955	-0.000349	-0.000511	-0.000000	0.037978
PropGeom	0.007943	11.099464	6.381765	0.700115	0.000549	0.000205	0.000380	-0.000000	0.000000	-0.000258	0.005295
PropGeom	0.007943	11.099464	6.249884	1.531765	0.000548	0.000379	0.000206	-0.000000	0.000000	0.000258	0.005295
PropGeom	0.007943	11.099464	5.418235	1.399885	0.000549	0.000205	0.000380	-0.000000	0.000000	-0.000258	0.005295
PropGeom	0.007943	11.099464	5.550116	0.568235	0.000548	0.000379	0.000206	0.000000	-0.000000	0.000258	0.005295
PropGeom	0.007943	11.099464	-6.381765	0.700115	0.000549	0.000205	0.000381	0.000000	0.000000	0.000258	0.005295
PropGeom	0.007943	11.099464	-6.249884	1.531765	0.000548	0.000379	0.000206	-0.000000	-0.000000	-0.000258	0.005295
PropGeom	0.007943	11.099464	-5.418235	1.399885	0.000549	0.000205	0.000380	0.000000	0.000000	0.000258	0.005295
PropGeom	0.007943	11.099464	-5.550116	0.568235	0.000548	0.000379	0.000206	-0.000000	0.000000	-0.000258	0.005295
FuselageGeom	0.339169	12.148070	-5.900000	1.107049	0.015291	0.075313	0.077458	0.000035	0.008004	-0.000033	0.339169
FuselageGeom	0.339169	12.148070	5.900000	1.107049	0.015288	0.075315	0.077452	-0.000016	0.008003	0.000001	0.339169
MagniX 650 EPU 1	53.168832	11.424535	-5.900000	1.050000	2.482671	1.554032	1.629977	-0.000024	0.000086	0.000074	0.037978
MagniX 650 EPU 1	53.168832	11.424535	5.900000	1.050000	2.482678	1.554030	1.629986	0.002585	-0.000369	0.000077	0.037978
PropGeom	0.007943	11.099464	8.995109	1.380733	0.000549	0.000191	0.000395	-0.000000	-0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	8.169268	1.545107	0.000549	0.000394	0.000192	-0.000000	-0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	8.004891	0.719267	0.000549	0.000191	0.000395	-0.000000	-0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	8.830732	0.554893	0.000549	0.000394	0.000192	-0.000000	0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-8.995109	1.380733	0.000549	0.000191	0.000395	0.000000	0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-8.169268	1.545107	0.000549	0.000394	0.000192	0.000000	0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	-8.004891	0.719267	0.000549	0.000191	0.000395	0.000000	-0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-8.830732	0.554893	0.000549	0.000394	0.000192	-0.000000	0.000000	0.000253	0.005295
FuselageGeom	0.339169	12.148070	-8.500000	1.107049	0.015288	0.075314	0.077453	-0.000005	0.008000	0.000043	0.339169
FuselageGeom	0.339169	12.148070	8.500000	1.107049	0.015282	0.075314	0.077447	-0.000005	0.008001	0.000043	0.339169
MagniX 650 EPU 1	53.168832	11.424535	-8.500000	1.050000	2.482593	1.553982	1.629949	-0.001837	0.000171	-0.000002	0.037978
MagniX 650 EPU 1	53.168832	11.424535	8.500000	1.050000	2.482590	1.553982	1.629946	-0.001400	0.000266	0.000001	0.037978
PropGeom	0.007943	11.099464	11.595109	1.380733	0.000549	0.000191	0.000395	-0.000000	0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	10.769268	1.545107	0.000549	0.000394	0.000192	-0.000000	-0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	10.604891	0.719267	0.000549	0.000191	0.000395	0.000000	0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	11.430732	0.554893	0.000549	0.000394	0.000192	0.000000	0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-11.595109	1.380733	0.000549	0.000191	0.000395	0.000000	0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-10.769268	1.545107	0.000549	0.000394	0.000192	-0.000000	0.000000	0.000253	0.005295
PropGeom	0.007943	11.099464	-10.604891	0.719267	0.000549	0.000191	0.000395	0.000000	-0.000000	-0.000253	0.005295
PropGeom	0.007943	11.099464	-11.430732	0.554893	0.000549	0.000394	0.000192	-0.000000	0.000000	0.000253	0.005295
FuselageGeom	0.337939	12.084317	-11.100000	1.107501	0.015032	0.075017	0.077079	0.000001	0.007951	0.000055	0.337939
FuselageGeom	0.337939	12.084317	11.100000	1.107501	0.015035	0.075014	0.077085	0.000006	0.007951	0.000005	0.337939
MagniX 650 EPU 1	31.868606	11.415264	-11.100000	1.050000	1.663882	1.038113	1.051606	0.000584	0.000015	-0.000377	0.022763
MagniX 650 EPU 1	31.868606	11.415264	11.100000	1.050000	1.663885	1.038112	1.051608	-0.000530	0.000127	-0.000376	0.022763
SeatGroup	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SeatGroup	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SeatGroup	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
SeatGroup	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passengers	4500.000000	7.857143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Avionics	0.000000	0.238095	0.000000	-0.535714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Fuel	4500.000000	12.800000	0.000000	1.450000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
pilots	180.000000	1.904762	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
LuggageOverhead	220.000000	7.857143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AftLuggage	680.000000	13.571429	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
NoseGear	245.000000	2.380952	0.000000	-1.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passengers	4500.000000	7.857143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	20988.901167	10.321540	-0.000045	0.515331	323653.171569	371401.411073	650303.269685	-7.893093	59913.771827	-2.023433	109.832839

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
178 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
0.044349	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007752
0.172897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.039777
0.301445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.103474
0.429993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.204933
0.558540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.348641
